"test" "ass." "obs" "exp" "p.obs>exp"
"63" "temp" "20_node.483" "1" "0.25±0.43" "1"
"64" "temp" "30_node.483" "0" "0.75±0.43" "1"
"65" "temp" "20_node.486" "5" "7.98±2.14" "1"
"66" "temp" "30_node.486" "20" "17.02±2.14" "1"
"67" "temp" "20_node.497" "2" "1.35±0.88" "1"
"68" "temp" "30_node.497" "2" "2.65±0.88" "1"
"69" "temp" "20_node.501" "0" "1.35±0.88" "1"
"70" "temp" "30_node.501" "4" "2.65±0.88" "1"
"71" "temp" "20_node.504" "28" "15.33±2.6" "0.00046"
"72" "temp" "30_node.504" "13" "25.67±2.6" "1"
"73" "temp" "20_node.524" "1" "0.6±0.49" "1"
"74" "temp" "30_node.524" "0" "0.4±0.49" "1"
"75" "temp" "20_node.525" "2" "0.6±0.64" "1"
"76" "temp" "30_node.525" "0" "1.4±0.64" "1"
"77" "temp" "20_node.533" "1" "0.43±0.5" "1"
"78" "temp" "30_node.533" "0" "0.57±0.5" "1"
"79" "temp" "20_node.540" "2" "0.96±0.68" "1"
"80" "temp" "30_node.540" "0" "1.04±0.68" "1"
"81" "temp" "20_node.548" "5" "6.6±1.5" "1"
"82" "temp" "30_node.548" "8" "6.4±1.5" "1"
"83" "temp" "20_node.566" "0" "0.5±0.6" "1"
"84" "temp" "30_node.566" "2" "1.5±0.6" "1"
"85" "temp" "20_node.568" "1" "1.2±0.67" "1"
"86" "temp" "30_node.568" "1" "0.8±0.67" "1"
"87" "temp" "20_node.569" "1" "0.68±0.66" "1"
"88" "temp" "30_node.569" "1" "1.32±0.66" "1"
"89" "temp" "20_node.576" "0" "0.25±0.43" "1"
"90" "temp" "30_node.576" "1" "0.75±0.43" "1"
"91" "temp" "20_node.580" "0" "0.25±0.43" "1"
"92" "temp" "30_node.580" "1" "0.75±0.43" "1"
